Ulasan_Mentah;processed_text;hasil_validator
Terimakasih semoga spd nya semoga awet..Terimakasih kak aini;terimakasih moga spd nya moga awet terimakasih kak ain;neutral
Terima kasih tiga putra..harganya murah dari counter² lain..terbaik memang tiga putra;terima kasih tiga putra harga murah dari counter lain baik memang tiga putra;positive
Stok nya lengkap kredit gampang gak ribet;stok nya lengkap kredit gampang enggak ribet;neutral
Pelayanannya enak, sebelum beli dijelasin juga enak juga, pembayaran cepet nggak ribet, dibantu sama Mas Rosi juga dari depan pintu smpe langsung diarahin ke barang yg saya mau, di test detail juga Mantap;pelayananya enak belum beli dijelasin juga enak juga bayar cepat enggak ribet bantu sama mas ros juga dari depan pintu sampai langsung diarahin ke barang yang saya mau di test detail juga mantap;positive
mantapp gaiss;mantap gais;neutral
pelayanannya ramah...;pelayananya ramah;neutral
Terima kasih mas tema vivo sudah beli vivo v50lte;terima kasih mas tema vivo sudah beli vivo lte;neutral
baik, pelayanan ramah. barang Ok.;baik layan ramah barang ok;positive
Pelayanan ramah bgt.. Pokoknya keren;layan ramah banget pokok keren;neutral
Harga murah pelayanan nyaman.....homy deh;harga murah layan nyaman homy deh;neutral
Tempatnya bagus,bersih dan pelayanannya bagus ,, yang lebih oke itu promonya banyak;tempat bagus bersih dan pelayananya bagus yang lebih oke itu promonya banyak;positive
Pelayanannya bagus dan ramah;pelayananya bagus dan ramah;neutral
Pelayanannya sangat baik;pelayananya sangat baik;neutral
pelayanannya bagus, pegawainya juga ramah²;pelayananya bagus pegawai juga ramah;positive
mantap pelayanan;mantap layan;positive
"pelayanan ramah dapet snack gratis dan pegawainya welcome""";layan ramah dapat snack gratis dan pegawai welcome;positive
Pelayanan ramah dan sangat membantu.. Udah dua kali beli di sini cocok dan puas.. Terimakasih..;layan ramah dan sangat bantu sudah dua kali beli di sini cocok dan puas terimakasih;positive
Thanks ka Dika sdh bantu pilih hp dan cek semuanya...dpt tws. Smg next ada lebih byk bonus yaa;thanks kak dika sudah bantu pilih hp dan cek semua dapat tws moga next ada lebih banyak bonus ya;positive
Pelayanan ramah dan memuaska;layan ramah dan memuaska;positive
proatanan cepat memuaskan;proatanan cepat muas;neutral
Store Handphone yang terpercaya di malang;store handphone yang percaya di malang;positive
Pelayanan terbaik sukses selalu;layan baik sukses selalu;neutral
Toko hp deket dari rmh . Not badlah lengkap .;toko hp dekat dari rumah not bad lengkap;neutral
Sangat enak tempat dan suasana belanja , sales tidak mengarahkan ke 1 brand tapi objektif jadi menyerahkan keputusan kepada costumer, dan kebetulan saya dilayani dengan mas tama sangat ramah terimakasih.;sangat enak tempat dan suasana belanja sales tidak arah ke brand tapi objektif jadi serah putus kepada costumer dan betul saya layan dengan mas tama sangat ramah terimakasih;positive
Store nya nyaman dan utk mas salesnya ramah dan banyak membantu semua kesulitan kami..perfect;store nya nyaman dan untuk mas salesnya ramah dan banyak bantu semua sulit kami perfect;positive
Pelayanan oke.;layan oke;neutral
Pelayan sangat ramah dan membantu sekali.;layan sangat ramah dan bantu sekali;positive
Terimakasih atas pelayanan mas rosi selaku staf tiga putra kawi. Sudah dibantu dalam pengecekan pembelian hp baru untuk anak saya.;terimakasih atas layan mas ros selaku staf tiga putra kawi sudah bantu dalam kece beli hp baru untuk anak saya;positive
Okeee pelayanannya;oke pelayananya;neutral
Helpful, promo menarik;helpful promo tarik;neutral
Pelayanannya baik di bantu dengan kak RIA tiga putra;pelayananya baik di bantu dengan kak ria tiga putra;positive
@dhika Pelayanannya ramahh;pelayananya ramah;neutral
Stok lengkap harga murah;stok lengkap harga murah;positive
terimakasih mbk citra, mbak nya baik;terimakasih mbak citra mbak nya baik;positive
Aksesoris lumayan lengkap, tempat luas dan free parkir;aksesoris lumayan lengkap tempat luas dan free parkir;positive
Pembelian unit dengan mas rossi... Pelayanan yang diberikan sangat baik, penyampaian sangat komunikatif dan juga informatif.... Dengan begitu beliau bisa merekomendasikan unit yang sesuai kebutuhan dengan baik.;beli unit dengan mas ros layan yang beri sangat baik sampai sangat komunikatif dan juga informatif dengan begitu beliau bisa rekomendasi unit yang sesuai butuh dengan baik;positive
pelayanan ramah cepat dan sigapp;layan ramah cepat dan sigap;positive
toko terlengkap di kota malang dan pelayanan ramah-ramah;toko lengkap di kota malang dan layan ramah ramah;neutral
Pelayanan ok....harga lumayan bs dapet disc dari Shopee... Tks;layan ok harga lumayan bisa dapat disc dari shopee tks;positive
harga murah pelayanan masnya baik;harga murah layan mas baik;neutral
Sabar hadapi customer;sabar hadap customer;neutral
Pelayan yg baik...tempat luas Free parkir;layan yang baik tempat luas free parkir;positive
Terimakasih mas tama Vivo sudah di bantu untuk Infinix nya;terimakasih mas tama vivo sudah di bantu untuk infinix nya;positive
Bagus, terpercaya, original, pelayanan dari karyawannya ramah;bagus percaya original layan dari karyawanya ramah;positive
Dengan mas @rossi ramah,gercep sabar ... terimakasih;dengan mas ramah gercep sabar terimakasih;neutral
Pelayanan sip mantab , Dengan mas firman.;layan sip mantab dengan mas firman;neutral
Pelayan karyawan sangat baik karna sdh di bantu Trima kasih banyak;layan karyawan sangat baik karena sudah di bantu terima kasih banyak;positive
Stock lengkap, pelayanan bagus;stock lengkap layan bagus;positive
Di bantu oleh mas Adit sudah langganan sejak 2019;di bantu oleh mas adit sudah langanan sejak;neutral
Sip rekomendasi banget!!;sip rekomendasi banget;neutral
Pelayanan baguss , pegawainya ramahhh bgtt , untuk tempatnyaa nyamann;layan bagus pegawai ramah banget untuk tempatnyaa nyaman;positive
pelayanan terbaik, semua ramah;layan baik semua ramah;positive
pelayanan di tokoh ini sangat ramah;layan di tokoh ini sangat ramah;neutral
Lebih banyak promonya;lebih banyak promonya;neutral
Tempatnya nyaman pelayanannya baik;tempat nyaman pelayananya baik;positive
Pelayanannya ramah dan cepat. Harga kompetitif. Barang selalu diperiksa kondisinya. Tempatnya juga nyaman.;pelayananya ramah dan cepat harga kompetitif barang selalu periksa kondisi tempat juga nyaman;positive
pelayanan mantap;layan mantap;positive
Pelayanan ramah dan cepat ...;layan ramah dan cepat;positive
pelayanannya bagus ramah dan cepat;pelayananya bagus ramah dan cepat;neutral
Pelayanan bagus serta tempatnya nyaman , karyawan juga ramah;layan bagus serta tempat nyaman karyawan juga ramah;positive
Pelayanan sangat bagus Harga karena bulan kemarin beli Dikasih discout;layan sangat bagus harga karena bulan kemarin beli kasih discout;neutral
terimakasih mas tama vivo sudah dengan ramah melayani saya membeli hp ☺️;terimakasih mas tama vivo sudah dengan ramah layan saya beli hp;positive
Pelayanan bagus ramah;layan bagus ramah;positive
Cari hp apa aja ada & harganya terjangkau, terima kasih buat mas Adit yg selalu setia mengantarkan orderan saya;cari hp apa saja ada harga jangkau terima kasih buat mas adit yang selalu setia antar order saya;neutral
Terimakasih sangat membantu pelayanan bagus;terimakasih sangat bantu layan bagus;positive
Pelayan kak Avia sangat bagussss. Terima kasihhh ya kak sukses trus;layan kak avia sangat bagus terima kasih ya kak sukses terus;positive
Pelayanan ramah dan sangat membantu sekali;layan ramah dan sangat bantu sekali;positive
Pelayanan baik udah sering ke sini di layanin sama mas ali;layan baik sudah sering ke sini di layanin sama mas ali;neutral
Tempatnya nyaman dan lengkap dr hp sampe asesorisnya, dilayani mas hengki yg ramah dan sat set.;tempat nyaman dan lengkap dari hp sampai asesorisnya layan mas hengki yang ramah dan sat set;positive
Beli hp di toko tiga putra ini pelayanannya baik, trs harga juga sesuai dan ada potongannya dan masih dapat gift juga. Menurutku ini sangat untung sih saya sebagai customer;beli hp di toko tiga putra ini pelayananya baik terus harga juga sesuai dan ada potonganya dan masih dapat gift juga turut ini sangat untung sih saya bagai customer;positive
Terima kasih atas pelayanan hari ini, niat hati cuman ke grapari karena ngajak si kecil skalian cari hp dan di layani sama mas rossi , alhamdulillah pelayanan cukup ramah dan sangat membantu memilihkan hp;terima kasih atas layan hari ini niat hati cuman ke grapari karena ajak sih kecil skalian cari hp dan di layan sama mas ros alhamdulilah layan cukup ramah dan sangat bantu pilih hp;neutral
Pelayanan cepat mas nya grecep;layan cepat mas nya grecep;neutral
Selalu langganan beli disini , Dibantu semua setting dan pindah data .. best;selalu langanan beli sini bantu semua ting dan pindah data best;neutral
Original resmi, garansi terpercaya ga ribet, top!;original resmi garansi percaya enggak ribet top;positive
Satisfied with the service they offer, the staff members are helpful in explaining the products and even helped us find the right product that suits our needs. Mas Adit gave us an outstanding service and we are happy with our experience here. Thank you!;satisfied with the service they ofer the staf members are helpful ini explaining the products and even helped us find the right product that suits our needs mas adit gave us an outstanding service and we are hapy with our experience here thank you;positive
Pelayanan josss dan dapet snack gratisss pegawainya ramah-ramah;layan jos dan dapat snack gratis pegawai ramah ramah;positive
Alhamdulillah beli hp dilayani mas Sulthan dgn ramah ..semoga sll sukses .Aamiin;alhamdulilah beli hp layan mas sulthan dengan ramah moga sl sukses amin;positive
Harga kompetitif dan pelayanan Mas-nya baik. Terima kasih;harga kompetitif dan layan mas nya baik terima kasih;neutral
Petugasnya ramah dan penjelasannya sangat baik dan mudah dimengerti;tugas ramah dan jasa sangat baik dan mudah erti;positive
Layanan super cepat dan kak dhika juga ramah;layan super cepat dan kak dhika juga ramah;positive
Pelayanan nyaman, tempat bagus;layan nyaman tempat bagus;positive
Tempat nyaman pelayanan ramah banget;tempat nyaman layan ramah banget;positive
Pelayanan sangat ramah ,, staff jg membantu sekali dng telaten ,, Nice service ,, harga terjangkau;layan sangat ramah staf juga bantu sekali dengan telaten nice service harga jangkau;neutral
Barusan beli watch xiomi di tiga putra, di layani sama mbak mbak baik, menjelaskan fitur-fitur dengan sangat jelas ke saya. Terimakasih ya mbak dan tiga putra;barusan beli watch xiomi di tiga putra di layan sama mbak mbak baik jelas fitur fitur dengan sangat jelas ke saya terimakasih ya mbak dan tiga putra;neutral
Pelayanan yang bagus;layan yang bagus;positive
Harga murah dan terjangkau..mbak mbaknya juga ramah tamah..;harga murah dan jangkau mbak mbak juga ramah tamah;positive
Sdh 3x beli di sini pelayanan selalu memuaskan;sudah kali beli di sini layan selalu muas;neutral
Pelayanan baik. Mantapp/ poll;layan baik mantap pol;positive
So far so good;sok far sok good;neutral
Pelayanan nyaa bagus tempat bersih dan nyaman pegawai nyaa ramah;layan nya bagus tempat bersih dan nyaman pegawai nya ramah;positive
Type typenya lengkap banget, dan kalau beli samsung promonya banyak banget;type typenya lengkap banget dan kalau beli samsung promonya banyak banget;neutral
pelayann ramah dan baik;layan ramah dan baik;positive
Pelayanan baik dan ramahh;layan baik dan ramah;positive
Good service Pegawainya sangat komunikatif Overall good;good service pegawai sangat komunikatif overal good;positive
pelayanan bagusss dan ramahh;layan bagus dan ramah;positive
Pelayanan sangat ramah, penjelasan mudah dipahami;layan sangat ramah jelas mudah paham;positive
Beli Oppo harga paling murah muter muter, Pelayanan e joss ramah, semua di jelaskan secara detail, terimakasih mas;beli opo harga paling murah muter muter layan jos ramah semua di jelas cara detail terimakasih mas;neutral
Pelayanan ramah,, puas dan csnya juga sabar dan telaten terima kasih tiga putra kawi malang ☺️;layan ramah puas dan csnya juga sabar dan telaten terima kasih tiga putra kawi malang;positive
best store phone in malang;best store phone ini malang;neutral
Dari dulu langganan di tiga putra pelayanan sll oke dpt Snack , bisa pindah data gratis , sukses sll tigaputra .langganan ibu ku dr dlu;dari dulu langanan di tiga putra layan sl oke dapat snack bisa pindah data gratis sukses sl tigaputra langanan ibu ku dari dulu;neutral
Pasang screen guard, ada 2 screen guard 100 rb or gimana gt ya waktu itu. Lamaaaaa banget, trnyt orang baru. Oke lah ya, aku kira ngapain kok lama banget pasang gt aja, lebih dr 30 menit meskipun ya mungkin karena orang baru. Terus trnyt 1 itu ada yg kotor, jd balik lg ke tempat minta dibenerin. Nunggu luaaammaaaaa lg selama2 nya, ktnya org nya istirahat. Lah, ganti aja masak harus nunggu org tadi balik. Kita ini juga punya perlu masak seharian harus tetap di sana sih. Ditelpon2 in orangnya ga balik, diliat2 berapa kali hape itu, masak ga ada bapak ibu manager gt yg di tempat. Pegawai apa ga lapor ke mereka gt? Akirnya setelah telpon 5x ke trainee td, dia minta tolong staf lain, yg udah berpengalaman. Itu pun masih nunggu lamaa gatau apa maunya. Udah ganti berapa org yg ngeliat kondisi screen guard nya ya. Dan akirnya yaowoh diganti baru, setelah lama banget padahal rencana itu mau ke mall sebelah tapi ga bisa gara2 nungguin staf di toko hape ini ya. Tau ga berapa menit itu mas ganti screen guard. Ga sampe 5 menit. 5 menit lah plg lama. Bayangkan lah. Apa dikira kita ini kengangguran punya waktu banyak buat nunggu. Sebenarnya ga mau aku post ini juga. Tapi 2 bulan screen guard itu uda bentol2. Melepuh. Gimana ini ya. Bagus an screen guard bawaan hape nya ya. Terus bagian pinggir geser2 sendiri gt. Kualitas apa ini screen guard nya;pasang screen guard ada screen guard ribu orang bagaimana begitu ya waktu itu lama banget trnyt orang baru oke lah ya aku kira kapai kok lama banget pasang begitu saja lebih dari menit meski ya mungkin karena orang baru terus trnyt itu ada yang kotor jadi balik lagi ke tempat minta dibenerin nungu luama lagi lama nya kata orang nya istirahat lah ganti saja masak harus nungu orang tadi balik kita ini juga punya perlu masak hari harus tetap di sana sih telpon ini orang enggak balik lihat berapa kali hape itu masak enggak ada bapak ibu manager begitu yang di tempat pegawai apa enggak lapor ke mereka begitu akirnya telah telpon kali ke trainee tadi dia minta tolong staf lain yang sudah alam itu pun masih nungu lamaa enggak tau apa mau sudah ganti berapa orang yang lihat kondisi screen guard nya ya dan akirnya yaowoh ganti baru telah lama banget padahal rencana itu mau ke mal belah tapi enggak bisa gara nunguin staf di toko hape ini ya tau enggak berapa menit itu mas ganti screen guard enggak sampai menit menit lah pulang lama bayang lah apa kira kita ini kenganguran punya waktu banyak buat nungu benar enggak mau aku post ini juga tapi bulan screen guard itu sudah bentol lepuh bagaimana ini ya bagus an screen guard bawa hape nya ya terus bagi pingir geser sendiri begitu kualitas apa ini screen guard nya;negative
"Nyari screenguard buat tab. Awalnya amaze sat set sat set, diiyakan kalau mereka punya, tanpa cek tipe tabnya. Kemudian agak aneh karena langsung diarahkan ke kasir untuk bayar padahal barang belum dicek. Ya udah saya iyain aja, dengan asumsi mereka pasti ada dan punya. Setelah bayar disuruh ke lantai 2. Di lantai 2 saya tunggu, gak lama ada mbaknya yang langsung menuju ke printer screenguard, tanpa tanya tipe tab saya, apalagi diminta unitnya untuk dicek. Akhirnya saya yang harus proaktif ""mba mau ngeprint ya? Ini tabnya Itel xxxxxx ya"" sambil aku serahkan unitnya. Udah tu aku kira aman. Tinggal tunggu selesai. Gak taunya, mereka bilang ""kak ini tabnya kebesaran"". Ya udah marahlah saya di situ Saya dari awal udah nunjukin di hp, ini merek dan tipe tabnya apa. Sesuai pamflet brandnya. Jadi bukan saya salah kasih info. KENAPA GAK TANYA/DIPASTIKAN DARI AWAL TAB SAYA TIPE APA? KENAPA BURU2 SAYA LANGSUNG DISURUH BAYAR TANPA CEK PRODUK YG DITAWARIN BAIK2?! akhirnya tentu saja saya di refund. Tapikan rugi waktu dan emosi sih, pelayanan macam apa ini Udah gitu mbanya cuma balikin tab, gak minta maaf. Cuma bilang kalau tabnya kebesaran dan screen guardnya gak cukup. Hebat banget pelayanannya";cari screenguard buat tab awal amaze sat set sat set iya kalau mereka punya tanpa cek tipe tabnya kemudian agak aneh karena langsung arah ke kasir untuk bayar padahal barang belum cek ya sudah saya iyain saja dengan asumsi mereka pasti ada dan punya telah bayar suruh ke lantai di lantai saya tungu enggak lama ada mbak yang langsung tuju ke printer screenguard tanpa tanya tipe tab saya apalagi minta unit untuk cek akhir saya yang harus proaktif mbak mau ngeprint ya ini tabnya itel kali ya sambil aku serah unit sudah itu aku kira aman tinggal tungu selesai enggak tau mereka bilang kak ini tabnya besar ya sudah marah saya di situ saya dari awal sudah nunjukin di hp ini merek dan tipe tabnya apa sesuai pamflet brandnya jadi bukan saya salah kasih info kenapa enggak tanya pasti dari awal tab saya tipe apa kenapa buru saya langsung suruh bayar tanpa cek produk yang ditawarin baik akhir tentu saja saya di refund tapi rugi waktu dan emosi sih layan macam apa ini sudah begitu mbak cuma balikin tab enggak minta maaf cuma bilang kalau tabnya besar dan screen guardnya enggak cukup hebat banget pelayananya;neutral
